25.704,24.8137
23.4169,25.2324
42.9042,45.0065
23.706,27.123
9.21292,18.432
6.80286,15.471
6.11891,18.2861
5.80229,16.0581
5.67795,16.1833
4.98095,16.8955
5.44875,17.7723
5.39597,16.8209
5.5439,15.1598
4.9521,15.2973
5.1531,18.855
4.8414,18.2814
5.22188,16.7503
4.94719,19.3723
5.07886,19.363
4.87624,19.985
4.84808,19.5696
4.77075,16.7109
4.67659,17.7007
4.80803,17.1192
5.15678,20.2347
5.05241,17.3404
5.08843,19.3634
4.99585,19.7295
5.32887,20.2995
5.1116,17.1986
4.88689,18.4686
4.91979,17.0869
4.86693,22.0369
5.1467,17.8167

6.27884,6.82672
6.71473,6.18057
6.89123,5.18183
6.80645,5.03867
7.77082,4.58744
8.39779,4.52856
8.30041,4.4685
8.85955,4.35486
8.23515,4.24774
9.02109,4.24307
9.61876,4.23148
9.03637,4.17884
9.69246,4.29945
8.76368,4.13213
9.50998,4.12692
9.32119,4.21798
9.36519,4.08293
9.73467,4.10157
8.70346,3.93862
8.80035,4.01334
9.23627,3.95015
9.73632,4.23771
8.90928,4.09115
9.6548,4.03294
9.02866,4.16124
9.12332,4.33994
8.99234,4.27379
8.89861,4.28029
9.53921,3.94124
9.31257,4.04288
9.40564,4.00412
9.22642,4.05604
9.17296,4.3615
